n,blue,red
1.000000000000000000e+00,9.998832528062432390e-01,2.606924001697965210e+01
2.000000000000000000e+00,2.979715344472045335e-01,2.896581910753361022e+00
3.000000000000000000e+00,2.964218848090198755e-01,2.896581910753360134e+00
4.000000000000000000e+00,1.332217093663604079e-01,1.042768721498998463e+00
5.000000000000000000e+00,1.305714262165478257e-01,1.042768721498995577e+00
6.000000000000000000e+00,1.265845195169032766e-01,5.320235833668640613e-01
7.000000000000000000e+00,1.239211071360676597e-01,5.320235833668593983e-01
8.000000000000000000e+00,1.208118264849998430e-01,3.218396248949851324e-01
9.000000000000000000e+00,1.203608391766591984e-01,3.218396248949820793e-01
1.000000000000000000e+01,1.198313457506859914e-01,2.581078480090890359e-01
1.100000000000000000e+01,8.275525915674089572e-02,2.581078480090883143e-01
1.200000000000000000e+01,2.709206096592801580e-02,2.391643845013944336e-01
1.300000000000000000e+01,2.490067694619833849e-02,2.391643845013941838e-01
1.400000000000000000e+01,2.486433661524991429e-02,2.154440238688984377e-01
1.500000000000000000e+01,2.453902573464696729e-02,2.154440238688966336e-01
1.600000000000000000e+01,2.038439909112545537e-02,2.085516395764679398e-01
1.700000000000000000e+01,2.036938411523473574e-02,2.085516395764673847e-01
1.800000000000000000e+01,2.036839551548029134e-02,1.749595757444579736e-01
1.900000000000000000e+01,2.036588211158133627e-02,1.749595757444577238e-01
2.000000000000000000e+01,2.036074169424270316e-02,1.542499494739630328e-01
2.100000000000000000e+01,1.966263902507421613e-02,1.542499494739626165e-01
2.200000000000000000e+01,1.878079579015829934e-02,1.440273098024937304e-01
2.300000000000000000e+01,1.878060604861782681e-02,1.440273098024934806e-01
2.400000000000000000e+01,1.878038506238990935e-02,1.179583724931435179e-01
2.500000000000000000e+01,1.878038423508201007e-02,1.179583724931433653e-01
2.600000000000000000e+01,1.878016079494835774e-02,1.158554449031351519e-01
2.700000000000000000e+01,1.803634252707443306e-02,1.158554449031342498e-01
2.800000000000000000e+01,1.726492626136846148e-02,9.690885592298582873e-02
2.900000000000000000e+01,1.726491774587348219e-02,9.690885592298563445e-02
3.000000000000000000e+01,1.726491703999744401e-02,9.019494035284880695e-02
3.100000000000000000e+01,1.725643362589489305e-02,9.019494035284861266e-02
3.200000000000000000e+01,1.660033048344222717e-02,8.020895441835908246e-02
3.300000000000000000e+01,1.660032649305379082e-02,8.020895441835905471e-02
3.400000000000000000e+01,1.660032592964755943e-02,7.220146289446476018e-02
3.500000000000000000e+01,1.599301523263298164e-02,7.220146289446462140e-02
3.600000000000000000e+01,1.597539828737222847e-02,6.701026633571259550e-02
3.700000000000000000e+01,1.597539813850753360e-02,6.701026633571235958e-02
3.800000000000000000e+01,1.597539683265503455e-02,6.499682129191677871e-02
3.900000000000000000e+01,1.597515408644108181e-02,6.499682129191668156e-02
4.000000000000000000e+01,1.595356378986508353e-02,6.372575335020717879e-02
4.100000000000000000e+01,1.595334213201132084e-02,6.372575335020715104e-02
4.200000000000000000e+01,1.590989843133640627e-02,6.132714211921523606e-02
4.300000000000000000e+01,1.589706853652951904e-02,6.132714211921519443e-02
4.400000000000000000e+01,1.589704276255394719e-02,5.909871683059417236e-02
4.500000000000000000e+01,1.578131267787452607e-02,5.909871683059408909e-02
4.600000000000000000e+01,1.557840670328477541e-02,5.804967830392235989e-02
4.700000000000000000e+01,1.557747598796102410e-02,5.804967830392220723e-02
4.800000000000000000e+01,1.557166850454069600e-02,5.654149807023921281e-02
4.900000000000000000e+01,1.557166740623392408e-02,5.654149807023895608e-02
5.000000000000000000e+01,1.557166688730307440e-02,5.418836505771876949e-02
5.100000000000000000e+01,1.557098461363855962e-02,5.418836505771865847e-02
5.200000000000000000e+01,1.556783153000197185e-02,5.002855311296935253e-02
5.300000000000000000e+01,1.556769488088864152e-02,5.002855311296917906e-02
5.400000000000000000e+01,1.556538469674699325e-02,4.926206765174626773e-02
5.500000000000000000e+01,1.533316685112691424e-02,4.926206765174624691e-02
5.600000000000000000e+01,1.526596490591157658e-02,4.817691049014779375e-02
5.700000000000000000e+01,1.526596490590465677e-02,4.817691049014764804e-02
5.800000000000000000e+01,1.526595962168650518e-02,4.580853572578463817e-02
5.900000000000000000e+01,1.526430845536685954e-02,4.580853572578451327e-02
6.000000000000000000e+01,1.526430719364513938e-02,4.170410609071543984e-02
6.100000000000000000e+01,1.526369647730254665e-02,4.170410609071535657e-02
6.200000000000000000e+01,1.526316997840515208e-02,4.168943323465939405e-02
6.300000000000000000e+01,1.520897127356178255e-02,4.168943323465923445e-02
6.400000000000000000e+01,1.509466636137220610e-02,4.143259903520456200e-02
6.500000000000000000e+01,1.509466406260704177e-02,4.143259903520449955e-02
6.600000000000000000e+01,1.509466179574495484e-02,3.782991734203711154e-02
6.700000000000000000e+01,1.509388545310652759e-02,3.782991734203705603e-02
6.800000000000000000e+01,1.509385199257846054e-02,3.594163751054785250e-02
6.900000000000000000e+01,1.509384783905736230e-02,3.594163751054771372e-02
7.000000000000000000e+01,1.509384631529707942e-02,3.573550096357814426e-02
7.100000000000000000e+01,1.494002040173817054e-02,3.573550096357808181e-02
7.200000000000000000e+01,1.493490558727459186e-02,3.424992611226408690e-02
7.300000000000000000e+01,1.493475475633026378e-02,3.424992611226403832e-02
7.400000000000000000e+01,1.493432673612596351e-02,3.142740061658820527e-02
7.500000000000000000e+01,1.493432540129020422e-02,3.142740061658812895e-02
7.600000000000000000e+01,1.493432194546193657e-02,3.099059943429532601e-02
7.700000000000000000e+01,1.493416517943938968e-02,3.099059943429523234e-02
7.800000000000000000e+01,1.493390056169615655e-02,3.096948807620524338e-02
7.900000000000000000e+01,1.485853873064068263e-02,3.096948807620510113e-02
8.000000000000000000e+01,1.483739645429507474e-02,2.890341775098174623e-02
8.100000000000000000e+01,1.365258080213975489e-02,2.890341775098168031e-02
8.200000000000000000e+01,6.685572026258046821e-03,2.864930586861450315e-02
8.300000000000000000e+01,6.535161530516472167e-03,2.864930586861444070e-02
8.400000000000000000e+01,6.534990002902446582e-03,2.815425446811520294e-02
8.500000000000000000e+01,6.533089739972326206e-03,2.815425446811517171e-02
8.600000000000000000e+01,6.533039691380571751e-03,2.805316404449175599e-02
8.700000000000000000e+01,6.532985924286777157e-03,2.805316404449173170e-02
8.800000000000000000e+01,6.532354973430670037e-03,2.768102027265906956e-02
8.900000000000000000e+01,6.532354725200142757e-03,2.768102027265904180e-02
9.000000000000000000e+01,6.532344235295792223e-03,2.744294257539143383e-02
9.100000000000000000e+01,6.532150103858612271e-03,2.744294257539136098e-02
9.200000000000000000e+01,6.530627779298308830e-03,2.709492100032767636e-02
9.300000000000000000e+01,6.325692845353111243e-03,2.709492100032765902e-02
9.400000000000000000e+01,6.319499662196291848e-03,2.654860485155368516e-02
9.500000000000000000e+01,6.319249263035241898e-03,2.654860485155366087e-02
9.600000000000000000e+01,6.319119752411263280e-03,2.550942186799328576e-02
9.700000000000000000e+01,6.319114569506058439e-03,2.550942186799327188e-02
9.800000000000000000e+01,6.318742945021992539e-03,2.542336124430022090e-02
9.900000000000000000e+01,6.318644413367101829e-03,2.542336124430020008e-02
1.000000000000000000e+02,6.318213745708338436e-03,2.454392712408886429e-02
1.010000000000000000e+02,6.318206687586071235e-03,2.454392712408878796e-02
