Resolution,Error
10,1.053709e-02
20,7.320637e-03
30,5.860697e-03
40,5.398319e-03
50,4.966165e-03
60,4.563572e-03
70,4.248706e-03
80,4.010089e-03
90,3.828390e-03
100,3.688158e-03
110,3.578274e-03
120,3.490877e-03
130,3.420399e-03
140,3.362841e-03
150,3.315266e-03
160,3.275544e-03
170,3.242054e-03
180,3.213577e-03
190,3.189169e-03
200,3.168089e-03
210,3.149773e-03
220,3.133755e-03
230,3.119664e-03
240,3.107207e-03
250,3.096147e-03
260,3.086270e-03
270,3.077427e-03
280,3.069470e-03
290,3.062289e-03
300,3.055779e-03
310,3.049871e-03
320,3.044478e-03
330,3.039552e-03
340,3.035035e-03
350,3.030889e-03
360,3.027067e-03
370,3.023535e-03
380,3.020275e-03
390,3.017249e-03
400,3.014440e-03
