Size,Mean,Mean-Quartile_1,Quartile_3-Mean
1,2.3021,1.5907,0.49711
2,1.8906,0.61376,0.43352
3,0.34982,0.18153,0.081901
4,0.22394,0.13967,-0.025835
5,0.019256,0.010307,0.0094743
6,0.010705,0.0036977,0.0030376
7,0.0045487,0.00088275,-2.4073e-06
8,0.0042379,0.0014093,0.00044432
9,0.0035361,0.00052388,0.00023696
10,0.0029853,0.00045124,0.00023869
11,0.0030776,0.00060311,0.00029302
12,0.0030136,0.00026999,0.00020245
13,0.0030157,0.00050489,0.00020992
14,0.0028204,0.00026845,0.00016061
15,0.0029179,0.00028493,0.00011901
16,0.003019,0.00051071,0.00055669
17,0.0028058,0.00020648,-9.0346e-06
18,0.0029076,0.00022271,0.00040397
19,0.0030693,0.00065208,0.00018366
20,0.0026815,0.00019592,0.00012139
21,0.002736,0.00022255,0.00016408
22,0.0028661,0.00025682,0.00031741
23,0.0028251,0.00031382,5.7885e-05
24,0.0028696,0.00013529,0.0001233
25,0.0028325,0.00039453,0.00045154
