Resolution,Error
10,1.187008e-02
20,8.319674e-03
30,6.767795e-03
40,6.059652e-03
50,5.701218e-03
60,5.297513e-03
70,4.933820e-03
80,4.642452e-03
90,4.414186e-03
100,4.234724e-03
110,4.092155e-03
120,3.977582e-03
130,3.884420e-03
140,3.807822e-03
150,3.744168e-03
160,3.690780e-03
170,3.645591e-03
180,3.607039e-03
190,3.573899e-03
200,3.545215e-03
210,3.520234e-03
220,3.498338e-03
230,3.479069e-03
240,3.461996e-03
250,3.446817e-03
260,3.433255e-03
270,3.421098e-03
280,3.410154e-03
290,3.400255e-03
300,3.391293e-03
310,3.383139e-03
320,3.375704e-03
330,3.368901e-03
340,3.362663e-03
350,3.356933e-03
360,3.351655e-03
370,3.346779e-03
380,3.342270e-03
390,3.338086e-03
400,3.334194e-03
