Size,Mean,Mean-Quartile_1,Quartile_3-Mean
1,3.0655,1.5073,1.0044
2,2.3396,1.6997,-0.16807
3,0.58418,0.3413,0.22089
4,0.19388,0.11888,0.091355
5,0.041082,0.013596,0.017182
6,0.01775,0.0081528,0.005302
7,0.0062984,0.0012364,0.001076
8,0.004665,0.00079852,0.00054961
9,0.0044694,0.00084303,0.0010188
10,0.0041052,0.00067489,0.00056237
11,0.0037494,0.00039408,0.00021854
12,0.0037878,0.00055067,0.00063521
13,0.0038931,0.00039888,0.0004445
14,0.0038157,0.00053396,0.00035053
15,0.0034613,0.00019551,0.000195
16,0.0038389,0.00029521,0.00036328
17,0.0034628,0.00042218,0.00024387
18,0.0038155,0.00033258,0.00050039
19,0.0034797,0.00024206,0.00022752
20,0.0035375,0.00042347,0.00048281
21,0.0033845,0.00025338,0.000171
22,0.0037048,0.00038182,0.00018441
23,0.0033182,0.00019011,7.1363e-05
24,0.0038639,0.00050558,0.00038398
25,0.0036908,0.00042806,0.000531
